Array	Sample	Batch	Covariate
MB-3006	claudin-low	2	group 3
MB-3013	claudin-low	2	group 3
MB-3062	claudin-low	2	group 3
MB-3067	claudin-low	2	group 3
MB-3271	claudin-low	2	group 3
MB-3292	claudin-low	2	group 3
MB-3367	claudin-low	2	group 3
MB-3383	claudin-low	2	group 3
MB-3395	claudin-low	2	group 3
MB-3459	claudin-low	2	group 3
MB-3476	claudin-low	2	group 3
MB-3479	claudin-low	2	group 3
MB-3567	claudin-low	2	group 3
MB-3582	claudin-low	2	group 3
MB-3702	claudin-low	2	group 3
MB-3707	claudin-low	2	group 3
MB-3752	claudin-low	2	group 3
MB-3865	claudin-low	2	group 3
MB-4005	claudin-low	2	group 3
MB-4416	claudin-low	2	group 3
MB-4622	claudin-low	2	group 3
MB-4696	claudin-low	2	group 3
MB-4711	claudin-low	2	group 3
MB-4733	claudin-low	2	group 3
MB-4859	claudin-low	2	group 3
MB-4865	claudin-low	2	group 3
MB-4876	claudin-low	2	group 3
MB-4888	claudin-low	2	group 3
MB-4893	claudin-low	2	group 3
MB-4904	claudin-low	2	group 3
MB-4931	claudin-low	2	group 3
MB-4942	claudin-low	2	group 3
MB-5017	claudin-low	2	group 3
MB-5041	claudin-low	2	group 3
MB-5052	claudin-low	2	group 3
MB-5065	claudin-low	2	group 3
MB-5073	claudin-low	2	group 3
MB-5100	claudin-low	2	group 3
MB-5162	claudin-low	2	group 3
MB-5175	claudin-low	2	group 3
MB-5176	claudin-low	2	group 3
MB-5177	claudin-low	2	group 3
MB-5222	claudin-low	2	group 3
MB-5223	claudin-low	2	group 3
MB-5272	claudin-low	2	group 3
MB-5296	claudin-low	2	group 3
MB-5311	claudin-low	2	group 3
MB-5323	claudin-low	2	group 3
MB-5348	claudin-low	2	group 3
MB-5350	claudin-low	2	group 3
MB-5392	claudin-low	2	group 3
MB-5405	claudin-low	2	group 3
MB-5408	claudin-low	2	group 3
MB-5431	claudin-low	2	group 3
MB-5440	claudin-low	2	group 3
MB-5450	claudin-low	2	group 3
MB-5474	claudin-low	2	group 3
MB-5527	claudin-low	2	group 3
MB-5531	claudin-low	2	group 3
MB-5534	claudin-low	2	group 3
MB-5548	claudin-low	2	group 3
MB-5565	claudin-low	2	group 3
MB-5572	claudin-low	2	group 3
MB-5577	claudin-low	2	group 3
MB-5588	claudin-low	2	group 3
MB-5616	claudin-low	2	group 3
MB-5633	claudin-low	2	group 3
MB-5651	claudin-low	2	group 3
MB-6036	claudin-low	2	group 3
MB-6052	claudin-low	2	group 3
MB-6055	claudin-low	2	group 3
MB-6062	claudin-low	2	group 3
MB-6143	claudin-low	2	group 3
MB-6144	claudin-low	2	group 3
MB-6147	claudin-low	2	group 3
MB-6187	claudin-low	2	group 3
MB-6188	claudin-low	2	group 3
MB-6228	claudin-low	2	group 3
MB-6272	claudin-low	2	group 3
MB-6305	claudin-low	2	group 3
MB-7008	claudin-low	2	group 3
MB-7017	claudin-low	2	group 3
MB-7023	claudin-low	2	group 3
MB-7025	claudin-low	2	group 3
MB-7043	claudin-low	2	group 3
MB-7044	claudin-low	2	group 3
MB-7052	claudin-low	2	group 3
MB-7054	claudin-low	2	group 3
MB-7078	claudin-low	2	group 3
MB-7079	claudin-low	2	group 3
MB-7081	claudin-low	2	group 3
MB-7089	claudin-low	2	group 3
MB-7104	claudin-low	2	group 3
MB-7121	claudin-low	2	group 3
MB-7158	claudin-low	2	group 3
MB-7201	claudin-low	2	group 3
MB-7215	claudin-low	2	group 3
MB-7285	claudin-low	2	group 3
MB-7291	claudin-low	2	group 3
EMT(1061-1)	EMT	1	group 4
EMT(1139-1)	EMT	1	group 4
EMT(1356-2)	EMT	1	group 4
EMT(1398-1)	EMT	1	group 4
EMT(1663-1)	EMT	1	group 4
EMT(1938-1)	EMT	1	group 4
EMT(222-1)	EMT	1	group 4
EMT(642-1)	EMT	1	group 4
EMT(812-1)	EMT	1	group 4
MB-0035	Her2	2	group 5
MB-0079	Her2	2	group 5
MB-0113	Her2	2	group 5
MB-0129	Her2	2	group 5
MB-0148	Her2	2	group 5
MB-0152	Her2	2	group 5
MB-0188	Her2	2	group 5
MB-0221	Her2	2	group 5
MB-0230	Her2	2	group 5
MB-0249	Her2	2	group 5
MB-0262	Her2	2	group 5
MB-0264	Her2	2	group 5
MB-0292	Her2	2	group 5
MB-0314	Her2	2	group 5
MB-0346	Her2	2	group 5
MB-0361	Her2	2	group 5
MB-0378	Her2	2	group 5
MB-0381	Her2	2	group 5
MB-0395	Her2	2	group 5
MB-0399	Her2	2	group 5
MB-0417	Her2	2	group 5
MB-0418	Her2	2	group 5
MB-0421	Her2	2	group 5
MB-0436	Her2	2	group 5
MB-0438	Her2	2	group 5
MB-0453	Her2	2	group 5
MB-0467	Her2	2	group 5
MB-0479	Her2	2	group 5
MB-0484	Her2	2	group 5
MB-0506	Her2	2	group 5
MB-0522	Her2	2	group 5
MB-0552	Her2	2	group 5
MB-0593	Her2	2	group 5
MB-0643	Her2	2	group 5
MB-0652	Her2	2	group 5
MB-0653	Her2	2	group 5
MB-0660	Her2	2	group 5
MB-0663	Her2	2	group 5
MB-2517	Her2	2	group 5
MB-2632	Her2	2	group 5
MB-2742	Her2	2	group 5
MB-2792	Her2	2	group 5
MB-2834	Her2	2	group 5
MB-2847	Her2	2	group 5
MB-2922	Her2	2	group 5
MB-2923	Her2	2	group 5
MB-2929	Her2	2	group 5
MB-2964	Her2	2	group 5
MB-3025	Her2	2	group 5
MB-3031	Her2	2	group 5
MB-3122	Her2	2	group 5
MB-3329	Her2	2	group 5
MB-3355	Her2	2	group 5
MB-3386	Her2	2	group 5
MB-3435	Her2	2	group 5
MB-3466	Her2	2	group 5
MB-3467	Her2	2	group 5
MB-3470	Her2	2	group 5
MB-3488	Her2	2	group 5
MB-3497	Her2	2	group 5
MB-3528	Her2	2	group 5
MB-3530	Her2	2	group 5
MB-3556	Her2	2	group 5
MB-3576	Her2	2	group 5
MB-3606	Her2	2	group 5
MB-3866	Her2	2	group 5
MB-3978	Her2	2	group 5
MB-4003	Her2	2	group 5
MB-4010	Her2	2	group 5
MB-4012	Her2	2	group 5
MB-4015	Her2	2	group 5
MB-4046	Her2	2	group 5
MB-4079	Her2	2	group 5
MB-4098	Her2	2	group 5
MB-4119	Her2	2	group 5
MB-4126	Her2	2	group 5
MB-4127	Her2	2	group 5
MB-4141	Her2	2	group 5
MB-4145	Her2	2	group 5
MB-4171	Her2	2	group 5
MB-4189	Her2	2	group 5
MB-4222	Her2	2	group 5
MB-4236	Her2	2	group 5
MB-4270	Her2	2	group 5
MB-4276	Her2	2	group 5
MB-4278	Her2	2	group 5
MB-4281	Her2	2	group 5
MB-4289	Her2	2	group 5
MB-4300	Her2	2	group 5
MB-4317	Her2	2	group 5
MB-4324	Her2	2	group 5
MB-4331	Her2	2	group 5
MB-4341	Her2	2	group 5
MB-4343	Her2	2	group 5
MB-4348	Her2	2	group 5
MB-4350	Her2	2	group 5
MB-4351	Her2	2	group 5
