"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"1060","Unaltered",12.2,3435,0,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
"1061","Unaltered",12.25,3429,0,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
"1062","Unaltered",12.3,3428,0,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
"1063","Unaltered",12.32,3425,0,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
"1064","Unaltered",12.35,3420,0,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
"1065","Unaltered",12.39,3418,1,0.985279728117433,0.00201983822197182,0.98138690327118,0.989187994463091
"1066","Unaltered",12.4,3417,0,0.985279728117433,0.00201983822197182,0.98138690327118,0.989187994463091
"1067","Unaltered",12.48,3413,0,0.985279728117433,0.00201983822197182,0.98138690327118,0.989187994463091
"1068","Unaltered",12.5,3412,0,0.985279728117433,0.00201983822197182,0.98138690327118,0.989187994463091
"1069","Unaltered",12.52,3406,0,0.985279728117433,0.00201983822197182,0.98138690327118,0.989187994463091
"1070","Unaltered",12.58,3404,0,0.985279728117433,0.00201983822197182,0.98138690327118,0.989187994463091
"1071","Unaltered",12.6,3403,1,0.984990195432121,0.00204110865996189,0.981057614074714,0.988938540589645
"1072","Unaltered",12.65,3397,2,0.984410277742729,0.00208315692164332,0.980399210664805,0.988437755134868
"1073","Unaltered",12.69,3391,1,0.984119976864598,0.00210393284051278,0.980070183321283,0.988186504747986
"1074","Unaltered",12.7,3390,1,0.983829675986467,0.00212451767976626,0.979741548069802,0.987934862269081
"1075","Unaltered",12.8,3388,0,0.983829675986467,0.00212451767976626,0.979741548069802,0.987934862269081
"1076","Unaltered",12.88,3385,0,0.983829675986467,0.00212451767976626,0.979741548069802,0.987934862269081
"1077","Unaltered",12.9,3384,0,0.983829675986467,0.00212451767976626,0.979741548069802,0.987934862269081
"1078","Unaltered",12.91,3383,0,0.983829675986467,0.00212451767976626,0.979741548069802,0.987934862269081
"1079","Unaltered",12.93333333,3381,1,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1080","Unaltered",12.94,3380,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1081","Unaltered",12.98,3377,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1082","Unaltered",13,3376,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1083","Unaltered",13.01,3374,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1084","Unaltered",13.07,3369,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1085","Unaltered",13.1,3368,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1086","Unaltered",13.2,3364,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1087","Unaltered",13.21,3362,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1088","Unaltered",13.24,3361,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1089","Unaltered",13.27,3359,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1090","Unaltered",13.3,3358,0,0.98353868820889,0.0021450131541401,0.979412425268881,0.987682335087892
"1091","Unaltered",13.4,3353,1,0.983245357255055,0.00216565354854772,0.979080715980145,0.987427713348228
"1092","Unaltered",13.44,3346,0,0.983245357255055,0.00216565354854772,0.979080715980145,0.987427713348228
"1093","Unaltered",13.47,3345,0,0.983245357255055,0.00216565354854772,0.979080715980145,0.987427713348228
"1094","Unaltered",13.5,3344,0,0.983245357255055,0.00216565354854772,0.979080715980145,0.987427713348228
"1095","Unaltered",13.53,3339,0,0.983245357255055,0.00216565354854772,0.979080715980145,0.987427713348228
