"","Event","time","n.risk","n.event","n.censor","surv","std.err","lower","upper"
"1770","Diploid",79.96666667,1978,1,0,0.733358071974971,0.0105517142104158,0.718347262614963,0.748682551908208
"1771","Diploid",80,1977,0,1,0.733358071974971,0.0105517142104158,0.718347262614963,0.748682551908208
"1772","Diploid",80.153,1976,0,1,0.733358071974971,0.0105517142104158,0.718347262614963,0.748682551908208
"1773","Diploid",80.2,1975,0,1,0.733358071974971,0.0105517142104158,0.718347262614963,0.748682551908208
"1774","Diploid",80.22,1974,0,2,0.733358071974971,0.0105517142104158,0.718347262614963,0.748682551908208
"1775","Diploid",80.23333333,1972,0,1,0.733358071974971,0.0105517142104158,0.718347262614963,0.748682551908208
"1776","Diploid",80.3,1971,0,2,0.733358071974971,0.0105517142104158,0.718347262614963,0.748682551908208
"1777","Diploid",80.36666667,1969,1,0,0.732985619932322,0.0105639357167298,0.71796523600371,0.748320241824069
"1778","Diploid",80.43333333,1968,1,0,0.732613167889674,0.0105761555052234,0.717583229697991,0.747957911434516
"1779","Diploid",80.5,1967,2,1,0.731868263804377,0.0106005900280923,0.716819277845602,0.74723318989672
"1780","Diploid",80.66666667,1964,0,1,0.731868263804377,0.0106005900280923,0.716819277845602,0.74723318989672
"1781","Diploid",80.7,1963,0,2,0.731868263804377,0.0106005900280923,0.716819277845602,0.74723318989672
"1782","Diploid",80.73333333,1961,2,0,0.731121840281884,0.0106251176694209,0.71605377870949,0.746506982060123
"1783","Diploid",80.83333333,1959,0,1,0.731121840281884,0.0106251176694209,0.71605377870949,0.746506982060123
"1784","Diploid",81,1958,1,1,0.730748437911975,0.0106373915522178,0.715670855330077,0.746143671401159
"1785","Diploid",81.03333333,1956,0,1,0.730748437911975,0.0106373915522178,0.715670855330077,0.746143671401159
"1786","Diploid",81.06666667,1955,2,0,0.730000869177538,0.0106619846991933,0.714904250814434,0.745416282520167
"1787","Diploid",81.1,1953,1,0,0.72962708481032,0.0106742788794259,0.714520978998072,0.745052557638398
"1788","Diploid",81.11,1952,1,0,0.729253300443101,0.0106865714972391,0.71413772742405,0.744688812514411
"1789","Diploid",81.13333333,1951,2,0,0.728505731708664,0.0107111521444084,0.713371284848216,0.743961261694599
"1790","Diploid",81.2,1949,0,2,0.728505731708664,0.0107111521444084,0.713371284848216,0.743961261694599
"1791","Diploid",81.33333333,1947,1,0,0.728131563382158,0.0107234654730873,0.712987682510562,0.743597100761262
"1792","Diploid",81.37,1946,0,1,0.728131563382158,0.0107234654730873,0.712987682510562,0.743597100761262
"1793","Diploid",81.5,1945,1,0,0.72775720268119,0.0107357899780522,0.712603894294145,0.743232741632664
"1794","Diploid",81.56666667,1944,1,0,0.727382841980222,0.0107481130151551,0.712220126251776,0.742868362330143
"1795","Diploid",81.567,1943,0,1,0.727382841980222,0.0107481130151551,0.712220126251776,0.742868362330143
"1796","Diploid",81.57,1942,1,1,0.727008288508554,0.0107604472978336,0.711836171894317,0.742503784478384
"1797","Diploid",81.67,1940,0,1,0.727008288508554,0.0107604472978336,0.711836171894317,0.742503784478384
"1798","Diploid",81.7,1939,0,2,0.727008288508554,0.0107604472978336,0.711836171894317,0.742503784478384
"1799","Diploid",81.77,1937,0,1,0.727008288508554,0.0107604472978336,0.711836171894317,0.742503784478384
"1800","Diploid",81.8,1936,1,1,0.726632767698374,0.010772843917123,0.71145120163308,0.742138291257401
"1801","Diploid",81.9,1934,0,1,0.726632767698374,0.010772843917123,0.71145120163308,0.742138291257401
"1802","Diploid",81.93333333,1933,1,0,0.726256858351401,0.0107852647399615,0.711065835517151,0.741772418188026
"1803","Diploid",82,1932,0,1,0.726256858351401,0.0107852647399615,0.711065835517151,0.741772418188026
"1804","Diploid",82.1,1931,0,2,0.726256858351401,0.0107852647399615,0.711065835517151,0.741772418188026
"1805","Diploid",82.2,1929,0,1,0.726256858351401,0.0107852647399615,0.711065835517151,0.741772418188026
"1806","Diploid",82.36666667,1928,0,1,0.726256858351401,0.0107852647399615,0.711065835517151,0.741772418188026
"1807","Diploid",82.4,1927,0,2,0.726256858351401,0.0107852647399615,0.711065835517151,0.741772418188026
"1808","Diploid",82.56,1925,0,1,0.726256858351401,0.0107852647399615,0.711065835517151,0.741772418188026
"1809","Diploid",82.62,1924,0,1,0.726256858351401,0.0107852647399615,0.711065835517151,0.741772418188026
"1810","Diploid",82.63333333,1923,1,0,0.725879189678311,0.0107978006020853,0.710678605019016,0.741404897075722
